Id,WarehouseId,Type,Name,Zone,Level,Position,Barcode,Rack,StoreTime,CreateTime,CreatedById,Capacity,MaxWeight,Sorting
88,5,3,WH1-H5-R01-L1-P39,501,1,39,1501139,R - 501,2026-01-22 07:57:26.77267+00,2026-01-22 07:57:26.77267+00,NULL,0,0,
89,5,3,WH1-H5-R01-L1-P40,501,1,40,1501140,R - 501,2026-01-22 07:57:26.77267+00,2026-01-22 07:57:26.77267+00,NULL,0,0,
90,5,3,WH1-H5-R01-L1-P41,501,1,41,1501141,R - 501,2026-01-22 07:57:26.77267+00,2026-01-22 07:57:26.77267+00,NULL,0,0,
91,5,3,WH1-H5-R01-L1-P42,501,1,42,1501142,R - 501,2026-01-22 07:57:26.77267+00,2026-01-22 07:57:26.77267+00,NULL,0,0,
92,5,3,WH1-H5-R01-L1-P43,501,1,43,1501143,R - 501,2026-01-22 07:57:26.77267+00,2026-01-22 07:57:26.77267+00,NULL,0,0,
93,5,3,WH1-H5-R01-L1-P44,501,1,44,1501144,R - 501,2026-01-22 07:57:26.77267+00,2026-01-22 07:57:26.77267+00,NULL,0,0,
94,5,3,WH1-H5-R01-L1-P45,501,1,45,1501145,R - 501,2026-01-22 07:57:26.77267+00,2026-01-22 07:57:26.77267+00,NULL,0,0,
95,5,3,WH1-H5-R01-L1-P46,501,1,46,1501146,R - 501,2026-01-22 07:57:26.77267+00,2026-01-22 07:57:26.77267+00,NULL,0,0,
96,5,3,WH1-H5-R01-L1-P47,501,1,47,1501147,R - 501,2026-01-22 07:57:26.77267+00,2026-01-22 07:57:26.77267+00,NULL,0,0,
97,5,3,WH1-H5-R01-L1-P48,501,1,48,1501148,R - 501,2026-01-22 07:57:26.77267+00,2026-01-22 07:57:26.77267+00,NULL,0,0,
98,5,3,WH1-H5-R01-L1-P49,501,1,49,1501149,R - 501,2026-01-22 07:57:26.77267+00,2026-01-22 07:57:26.77267+00,NULL,0,0,
99,5,3,WH1-H5-R01-L1-P50,501,1,50,1501150,R - 501,2026-01-22 07:57:26.77267+00,2026-01-22 07:57:26.77267+00,NULL,0,0,
100,5,3,WH1-H5-R01-L1-P51,501,1,51,1501151,R - 501,2026-01-22 07:57:26.77267+00,2026-01-22 07:57:26.77267+00,NULL,0,0,
101,5,3,WH1-H5-R01-L1-P52,501,1,52,1501152,R - 501,2026-01-22 07:57:26.77267+00,2026-01-22 07:57:26.77267+00,NULL,0,0,
102,5,3,WH1-H5-R01-L1-P53,501,1,53,1501153,R - 501,2026-01-22 07:57:26.77267+00,2026-01-22 07:57:26.77267+00,NULL,0,0,
103,5,3,WH1-H5-R01-L1-P54,501,1,54,1501154,R - 501,2026-01-22 07:57:26.77267+00,2026-01-22 07:57:26.77267+00,NULL,0,0,
104,5,3,WH1-H5-R01-L1-P55,501,1,55,1501155,R - 501,2026-01-22 07:57:26.77267+00,2026-01-22 07:57:26.77267+00,NULL,0,0,
105,5,3,WH1-H5-R01-L1-P56,501,1,56,1501156,R - 501,2026-01-22 07:57:26.77267+00,2026-01-22 07:57:26.77267+00,NULL,0,0,
106,5,3,WH1-H5-R01-L1-P57,501,1,57,1501157,R - 501,2026-01-22 07:57:26.77267+00,2026-01-22 07:57:26.77267+00,NULL,0,0,
107,5,3,WH1-H5-R01-L1-P58,501,1,58,1501158,R - 501,2026-01-22 07:57:26.77267+00,2026-01-22 07:57:26.77267+00,NULL,0,0,
108,5,3,WH1-H5-R01-L1-P59,501,1,59,1501159,R - 501,2026-01-22 07:57:26.77267+00,2026-01-22 07:57:26.77267+00,NULL,0,0,
109,5,3,WH1-H5-R01-L1-P60,501,1,60,1501160,R - 501,2026-01-22 07:57:26.77267+00,2026-01-22 07:57:26.77267+00,NULL,0,0,
110,5,3,WH1-H5-R01-L1-P61,501,1,61,1501161,R - 501,2026-01-22 07:57:26.77267+00,2026-01-22 07:57:26.77267+00,NULL,0,0,
111,5,3,WH1-H5-R01-L1-P62,501,1,62,1501162,R - 501,2026-01-22 07:57:26.77267+00,2026-01-22 07:57:26.77267+00,NULL,0,0,
112,5,3,WH1-H5-R01-L1-P63,501,1,63,1501163,R - 501,2026-01-22 07:57:26.77267+00,2026-01-22 07:57:26.77267+00,NULL,0,0,
113,5,3,WH1-H5-R01-L1-P64,501,1,64,1501164,R - 501,2026-01-22 07:57:26.77267+00,2026-01-22 07:57:26.77267+00,NULL,0,0,
114,5,3,WH1-H5-R01-L1-P65,501,1,65,1501165,R - 501,2026-01-22 07:57:26.77267+00,2026-01-22 07:57:26.77267+00,NULL,0,0,
115,5,3,WH1-H5-R01-L1-P66,501,1,66,1501166,R - 501,2026-01-22 07:57:26.77267+00,2026-01-22 07:57:26.77267+00,NULL,0,0,
116,5,3,WH1-H5-R01-L2-P01,501,2,01,1501201,R - 501,2026-01-22 07:57:26.77267+00,2026-01-22 07:57:26.77267+00,NULL,0,0,
117,5,3,WH1-H5-R01-L2-P02,501,2,02,1501202,R - 501,2026-01-22 07:57:26.77267+00,2026-01-22 07:57:26.77267+00,NULL,0,0,
118,5,3,WH1-H5-R01-L2-P03,501,2,03,1501203,R - 501,2026-01-22 07:57:26.77267+00,2026-01-22 07:57:26.77267+00,NULL,0,0,
119,5,3,WH1-H5-R01-L2-P04,501,2,04,1501204,R - 501,2026-01-22 07:57:26.77267+00,2026-01-22 07:57:26.77267+00,NULL,0,0,
120,5,3,WH1-H5-R01-L2-P05,501,2,05,1501205,R - 501,2026-01-22 07:57:26.77267+00,2026-01-22 07:57:26.77267+00,NULL,0,0,
121,5,3,WH1-H5-R01-L2-P06,501,2,06,1501206,R - 501,2026-01-22 07:57:26.77267+00,2026-01-22 07:57:26.77267+00,NULL,0,0,
122,5,3,WH1-H5-R01-L2-P07,501,2,07,1501207,R - 501,2026-01-22 07:57:26.77267+00,2026-01-22 07:57:26.77267+00,NULL,0,0,
123,5,3,WH1-H5-R01-L2-P08,501,2,08,1501208,R - 501,2026-01-22 07:57:26.77267+00,2026-01-22 07:57:26.77267+00,NULL,0,0,
124,5,3,WH1-H5-R01-L2-P09,501,2,09,1501209,R - 501,2026-01-22 07:57:26.77267+00,2026-01-22 07:57:26.77267+00,NULL,0,0,
125,5,3,WH1-H5-R01-L2-P10,501,2,10,1501210,R - 501,2026-01-22 07:57:26.77267+00,2026-01-22 07:57:26.77267+00,NULL,0,0,
126,5,3,WH1-H5-R01-L2-P11,501,2,11,1501211,R - 501,2026-01-22 07:57:26.77267+00,2026-01-22 07:57:26.77267+00,NULL,0,0,
127,5,3,WH1-H5-R01-L2-P12,501,2,12,1501212,R - 501,2026-01-22 07:57:26.77267+00,2026-01-22 07:57:26.77267+00,NULL,0,0,
128,5,3,WH1-H5-R01-L2-P13,501,2,13,1501213,R - 501,2026-01-22 07:57:26.77267+00,2026-01-22 07:57:26.77267+00,NULL,0,0,
129,5,3,WH1-H5-R01-L2-P14,501,2,14,1501214,R - 501,2026-01-22 07:57:26.77267+00,2026-01-22 07:57:26.77267+00,NULL,0,0,
130,5,3,WH1-H5-R01-L2-P15,501,2,15,1501215,R - 501,2026-01-22 07:57:26.77267+00,2026-01-22 07:57:26.77267+00,NULL,0,0,
131,5,3,WH1-H5-R01-L2-P16,501,2,16,1501216,R - 501,2026-01-22 07:57:26.77267+00,2026-01-22 07:57:26.77267+00,NULL,0,0,
132,5,3,WH1-H5-R01-L2-P17,501,2,17,1501217,R - 501,2026-01-22 07:57:26.77267+00,2026-01-22 07:57:26.77267+00,NULL,0,0,
133,5,3,WH1-H5-R01-L2-P18,501,2,18,1501218,R - 501,2026-01-22 07:57:26.77267+00,2026-01-22 07:57:26.77267+00,NULL,0,0,
134,5,3,WH1-H5-R01-L2-P19,501,2,19,1501219,R - 501,2026-01-22 07:57:26.77267+00,2026-01-22 07:57:26.77267+00,NULL,0,0,
135,5,3,WH1-H5-R01-L2-P20,501,2,20,1501220,R - 501,2026-01-22 07:57:26.77267+00,2026-01-22 07:57:26.77267+00,NULL,0,0,
136,5,3,WH1-H5-R01-L2-P21,501,2,21,1501221,R - 501,2026-01-22 07:57:26.77267+00,2026-01-22 07:57:26.77267+00,NULL,0,0,
137,5,3,WH1-H5-R01-L2-P22,501,2,22,1501222,R - 501,2026-01-22 07:57:26.77267+00,2026-01-22 07:57:26.77267+00,NULL,0,0,
138,5,3,WH1-H5-R01-L2-P23,501,2,23,1501223,R - 501,2026-01-22 07:57:26.77267+00,2026-01-22 07:57:26.77267+00,NULL,0,0,
139,5,3,WH1-H5-R01-L2-P24,501,2,24,1501224,R - 501,2026-01-22 07:57:26.77267+00,2026-01-22 07:57:26.77267+00,NULL,0,0,
140,5,3,WH1-H5-R01-L2-P25,501,2,25,1501225,R - 501,2026-01-22 07:57:26.77267+00,2026-01-22 07:57:26.77267+00,NULL,0,0,
141,5,3,WH1-H5-R01-L2-P26,501,2,26,1501226,R - 501,2026-01-22 07:57:26.77267+00,2026-01-22 07:57:26.77267+00,NULL,0,0,
142,5,3,WH1-H5-R01-L2-P27,501,2,27,1501227,R - 501,2026-01-22 07:57:26.77267+00,2026-01-22 07:57:26.77267+00,NULL,0,0,
143,5,3,WH1-H5-R01-L2-P28,501,2,28,1501228,R - 501,2026-01-22 07:57:26.77267+00,2026-01-22 07:57:26.77267+00,NULL,0,0,
144,5,3,WH1-H5-R01-L2-P29,501,2,29,1501229,R - 501,2026-01-22 07:57:26.77267+00,2026-01-22 07:57:26.77267+00,NULL,0,0,
145,5,3,WH1-H5-R01-L2-P30,501,2,30,1501230,R - 501,2026-01-22 07:57:26.77267+00,2026-01-22 07:57:26.77267+00,NULL,0,0,
146,5,3,WH1-H5-R01-L2-P31,501,2,31,1501231,R - 501,2026-01-22 07:57:26.77267+00,2026-01-22 07:57:26.77267+00,NULL,0,0,
147,5,3,WH1-H5-R01-L2-P32,501,2,32,1501232,R - 501,2026-01-22 07:57:26.77267+00,2026-01-22 07:57:26.77267+00,NULL,0,0,
148,5,3,WH1-H5-R01-L2-P33,501,2,33,1501233,R - 501,2026-01-22 07:57:26.77267+00,2026-01-22 07:57:26.77267+00,NULL,0,0,
149,5,3,WH1-H5-R01-L2-P34,501,2,34,1501234,R - 501,2026-01-22 07:57:26.77267+00,2026-01-22 07:57:26.77267+00,NULL,0,0,
150,5,3,WH1-H5-R01-L2-P35,501,2,35,1501235,R - 501,2026-01-22 07:57:26.77267+00,2026-01-22 07:57:26.77267+00,NULL,0,0,
151,5,3,WH1-H5-R01-L2-P36,501,2,36,1501236,R - 501,2026-01-22 07:57:26.77267+00,2026-01-22 07:57:26.77267+00,NULL,0,0,
152,5,3,WH1-H5-R01-L2-P37,501,2,37,1501237,R - 501,2026-01-22 07:57:26.77267+00,2026-01-22 07:57:26.77267+00,NULL,0,0,
153,5,3,WH1-H5-R01-L2-P38,501,2,38,1501238,R - 501,2026-01-22 07:57:26.77267+00,2026-01-22 07:57:26.77267+00,NULL,0,0,
154,5,3,WH1-H5-R01-L2-P39,501,2,39,1501239,R - 501,2026-01-22 07:57:26.77267+00,2026-01-22 07:57:26.77267+00,NULL,0,0,
155,5,3,WH1-H5-R01-L2-P40,501,2,40,1501240,R - 501,2026-01-22 07:57:26.77267+00,2026-01-22 07:57:26.77267+00,NULL,0,0,
156,5,3,WH1-H5-R01-L2-P41,501,2,41,1501241,R - 501,2026-01-22 07:57:26.77267+00,2026-01-22 07:57:26.77267+00,NULL,0,0,
157,5,3,WH1-H5-R01-L2-P42,501,2,42,1501242,R - 501,2026-01-22 07:57:26.77267+00,2026-01-22 07:57:26.77267+00,NULL,0,0,
158,5,3,WH1-H5-R01-L2-P43,501,2,43,1501243,R - 501,2026-01-22 07:57:26.77267+00,2026-01-22 07:57:26.77267+00,NULL,0,0,
159,5,3,WH1-H5-R01-L2-P44,501,2,44,1501244,R - 501,2026-01-22 07:57:26.77267+00,2026-01-22 07:57:26.77267+00,NULL,0,0,
160,5,3,WH1-H5-R01-L2-P45,501,2,45,1501245,R - 501,2026-01-22 07:57:26.77267+00,2026-01-22 07:57:26.77267+00,NULL,0,0,
161,5,3,WH1-H5-R01-L2-P46,501,2,46,1501246,R - 501,2026-01-22 07:57:26.77267+00,2026-01-22 07:57:26.77267+00,NULL,0,0,
162,5,3,WH1-H5-R01-L2-P47,501,2,47,1501247,R - 501,2026-01-22 07:57:26.77267+00,2026-01-22 07:57:26.77267+00,NULL,0,0,
163,5,3,WH1-H5-R01-L2-P48,501,2,48,1501248,R - 501,2026-01-22 07:57:26.77267+00,2026-01-22 07:57:26.77267+00,NULL,0,0,
164,5,3,WH1-H5-R01-L2-P49,501,2,49,1501249,R - 501,2026-01-22 07:57:26.77267+00,2026-01-22 07:57:26.77267+00,NULL,0,0,
165,5,3,WH1-H5-R01-L2-P50,501,2,50,1501250,R - 501,2026-01-22 07:57:26.77267+00,2026-01-22 07:57:26.77267+00,NULL,0,0,
166,5,3,WH1-H5-R01-L2-P51,501,2,51,1501251,R - 501,2026-01-22 07:57:26.77267+00,2026-01-22 07:57:26.77267+00,NULL,0,0,
167,5,3,WH1-H5-R01-L2-P52,501,2,52,1501252,R - 501,2026-01-22 07:57:26.77267+00,2026-01-22 07:57:26.77267+00,NULL,0,0,
168,5,3,WH1-H5-R01-L2-P53,501,2,53,1501253,R - 501,2026-01-22 07:57:26.77267+00,2026-01-22 07:57:26.77267+00,NULL,0,0,
169,5,3,WH1-H5-R01-L2-P54,501,2,54,1501254,R - 501,2026-01-22 07:57:26.77267+00,2026-01-22 07:57:26.77267+00,NULL,0,0,
170,5,3,WH1-H5-R01-L2-P55,501,2,55,1501255,R - 501,2026-01-22 07:57:26.77267+00,2026-01-22 07:57:26.77267+00,NULL,0,0,
171,5,3,WH1-H5-R01-L2-P56,501,2,56,1501256,R - 501,2026-01-22 07:57:26.77267+00,2026-01-22 07:57:26.77267+00,NULL,0,0,
172,5,3,WH1-H5-R01-L2-P57,501,2,57,1501257,R - 501,2026-01-22 07:57:26.77267+00,2026-01-22 07:57:26.77267+00,NULL,0,0,
173,5,3,WH1-H5-R01-L2-P58,501,2,58,1501258,R - 501,2026-01-22 07:57:26.77267+00,2026-01-22 07:57:26.77267+00,NULL,0,0,
174,5,3,WH1-H5-R01-L2-P59,501,2,59,1501259,R - 501,2026-01-22 07:57:26.77267+00,2026-01-22 07:57:26.77267+00,NULL,0,0,
175,5,3,WH1-H5-R01-L2-P60,501,2,60,1501260,R - 501,2026-01-22 07:57:26.77267+00,2026-01-22 07:57:26.77267+00,NULL,0,0,
176,5,3,WH1-H5-R01-L2-P61,501,2,61,1501261,R - 501,2026-01-22 07:57:26.77267+00,2026-01-22 07:57:26.77267+00,NULL,0,0,
177,5,3,WH1-H5-R01-L2-P62,501,2,62,1501262,R - 501,2026-01-22 07:57:26.77267+00,2026-01-22 07:57:26.77267+00,NULL,0,0,
178,5,3,WH1-H5-R01-L2-P63,501,2,63,1501263,R - 501,2026-01-22 07:57:26.77267+00,2026-01-22 07:57:26.77267+00,NULL,0,0,
179,5,3,WH1-H5-R01-L2-P64,501,2,64,1501264,R - 501,2026-01-22 07:57:26.77267+00,2026-01-22 07:57:26.77267+00,NULL,0,0,
180,5,3,WH1-H5-R01-L2-P65,501,2,65,1501265,R - 501,2026-01-22 07:57:26.77267+00,2026-01-22 07:57:26.77267+00,NULL,0,0,
181,5,3,WH1-H5-R01-L2-P66,501,2,66,1501266,R - 501,2026-01-22 07:57:26.77267+00,2026-01-22 07:57:26.77267+00,NULL,0,0,
182,5,3,WH1-H5-R01-L3-P01,501,3,01,1501301,R - 501,2026-01-22 07:57:26.77267+00,2026-01-22 07:57:26.77267+00,NULL,0,0,
183,5,3,WH1-H5-R01-L3-P02,501,3,02,1501302,R - 501,2026-01-22 07:57:26.77267+00,2026-01-22 07:57:26.77267+00,NULL,0,0,
184,5,3,WH1-H5-R01-L3-P03,501,3,03,1501303,R - 501,2026-01-22 07:57:26.77267+00,2026-01-22 07:57:26.77267+00,NULL,0,0,
185,5,3,WH1-H5-R01-L3-P04,501,3,04,1501304,R - 501,2026-01-22 07:57:26.77267+00,2026-01-22 07:57:26.77267+00,NULL,0,0,
186,5,3,WH1-H5-R01-L3-P05,501,3,05,1501305,R - 501,2026-01-22 07:57:26.77267+00,2026-01-22 07:57:26.77267+00,NULL,0,0,
187,5,3,WH1-H5-R01-L3-P06,501,3,06,1501306,R - 501,2026-01-22 07:57:26.77267+00,2026-01-22 07:57:26.77267+00,NULL,0,0,
188,5,3,WH1-H5-R01-L3-P07,501,3,07,1501307,R - 501,2026-01-22 07:57:26.77267+00,2026-01-22 07:57:26.77267+00,NULL,0,0,
189,5,3,WH1-H5-R01-L3-P08,501,3,08,1501308,R - 501,2026-01-22 07:57:26.77267+00,2026-01-22 07:57:26.77267+00,NULL,0,0,
190,5,3,WH1-H5-R01-L3-P09,501,3,09,1501309,R - 501,2026-01-22 07:57:26.77267+00,2026-01-22 07:57:26.77267+00,NULL,0,0,
191,5,3,WH1-H5-R01-L3-P10,501,3,10,1501310,R - 501,2026-01-22 07:57:26.77267+00,2026-01-22 07:57:26.77267+00,NULL,0,0,
192,5,3,WH1-H5-R01-L3-P11,501,3,11,1501311,R - 501,2026-01-22 07:57:26.77267+00,2026-01-22 07:57:26.77267+00,NULL,0,0,
193,5,3,WH1-H5-R01-L3-P12,501,3,12,1501312,R - 501,2026-01-22 07:57:26.77267+00,2026-01-22 07:57:26.77267+00,NULL,0,0,
194,5,3,WH1-H5-R01-L3-P13,501,3,13,1501313,R - 501,2026-01-22 07:57:26.77267+00,2026-01-22 07:57:26.77267+00,NULL,0,0,
195,5,3,WH1-H5-R01-L3-P14,501,3,14,1501314,R - 501,2026-01-22 07:57:26.77267+00,2026-01-22 07:57:26.77267+00,NULL,0,0,
196,5,3,WH1-H5-R01-L3-P15,501,3,15,1501315,R - 501,2026-01-22 07:57:26.77267+00,2026-01-22 07:57:26.77267+00,NULL,0,0,
197,5,3,WH1-H5-R01-L3-P16,501,3,16,1501316,R - 501,2026-01-22 07:57:26.77267+00,2026-01-22 07:57:26.77267+00,NULL,0,0,
198,5,3,WH1-H5-R01-L3-P17,501,3,17,1501317,R - 501,2026-01-22 07:57:26.77267+00,2026-01-22 07:57:26.77267+00,NULL,0,0,
199,5,3,WH1-H5-R01-L3-P18,501,3,18,1501318,R - 501,2026-01-22 07:57:26.77267+00,2026-01-22 07:57:26.77267+00,NULL,0,0,
200,5,3,WH1-H5-R01-L3-P19,501,3,19,1501319,R - 501,2026-01-22 07:57:26.77267+00,2026-01-22 07:57:26.77267+00,NULL,0,0,
201,5,3,WH1-H5-R01-L3-P20,501,3,20,1501320,R - 501,2026-01-22 07:57:26.77267+00,2026-01-22 07:57:26.77267+00,NULL,0,0,
202,5,3,WH1-H5-R01-L3-P21,501,3,21,1501321,R - 501,2026-01-22 07:57:26.77267+00,2026-01-22 07:57:26.77267+00,NULL,0,0,
203,5,3,WH1-H5-R01-L3-P22,501,3,22,1501322,R - 501,2026-01-22 07:57:26.77267+00,2026-01-22 07:57:26.77267+00,NULL,0,0,
204,5,3,WH1-H5-R01-L3-P23,501,3,23,1501323,R - 501,2026-01-22 07:57:26.77267+00,2026-01-22 07:57:26.77267+00,NULL,0,0,
205,5,3,WH1-H5-R01-L3-P24,501,3,24,1501324,R - 501,2026-01-22 07:57:26.77267+00,2026-01-22 07:57:26.77267+00,NULL,0,0,
